timestamp,temp_in,hum_in,temp_out,hum_out,open_close
1523097960,21.250000,44.320000,21.490000,33.570000,0
1523098020,21.240000,44.230000,21.490000,33.520000,0
1523098080,21.230000,43.796665,21.570000,33.509998,0
1523098140,21.080000,43.230003,21.530001,33.509998,0
1523098200,21.100000,43.597500,21.590000,33.450001,0
1523098260,21.059999,42.677498,21.639999,33.450001,0
1523098320,21.080000,42.745003,21.719999,33.380001,0
1523098380,21.150000,43.110001,21.719999,33.340000,0
1523098440,21.100000,42.697502,21.790001,33.290001,0
1523098500,21.040001,43.212502,21.850000,33.169998,0
1523098560,21.020000,43.292500,21.920000,33.080002,0
1523098620,21.059999,43.410000,21.959999,33.490002,0
1523098680,21.020000,43.580002,22.020000,33.400002,0
1523098740,21.000000,42.954998,22.040001,33.369999,0
1523098800,20.950001,42.487499,22.129999,33.340000,0
1523098860,20.910000,42.139999,22.150000,33.310001,0
1523098920,20.629999,41.807499,22.190001,33.230000,1
1523098980,20.570000,42.267502,22.209999,33.110001,0
1523099040,20.570000,42.042500,21.620001,33.049999,0
1523099100,20.590000,41.619999,21.639999,32.990002,0
1523099160,20.610001,41.715000,21.680000,32.959999,0
1523099220,20.629999,41.900002,21.790001,32.869999,0
1523099280,20.590000,42.132500,21.809999,32.799999,0
1523099340,20.629999,42.127502,21.830000,32.770000,0
1523099400,20.670000,41.817501,21.889999,32.790001,0
1523099460,20.700001,41.565002,21.920000,32.770000,0
1523099520,20.670000,42.072502,21.959999,32.700001,0
1523099580,20.610001,41.357498,22.020000,32.669998,0
1523099640,20.650000,41.087502,22.040001,32.639999,0
1523099700,20.720001,40.987503,22.059999,32.590000,0
1523099760,20.740000,41.257500,22.129999,33.060001,0
1523099820,20.650000,41.474998,22.129999,32.970001,0
1523099880,20.700001,41.279999,22.150000,32.939999,0
1523099940,20.650000,41.745003,22.240000,32.930000,0
1523100000,20.719999,41.680000,22.240000,32.930000,0
1523100060,20.834999,41.552498,22.320000,32.830002,0
1523100120,20.889999,42.029999,22.320000,32.849998,0
1523100180,21.020000,41.607498,22.340000,32.790001,0
1523100240,21.100000,41.755001,22.340000,32.790001,0
1523100300,21.209999,41.877502,22.389999,32.770000,0
1523100360,21.340000,41.619999,22.389999,32.790001,0
1523100420,21.420000,42.105000,22.430000,32.730000,0
1523100480,21.530001,41.689999,22.450001,32.770000,0
1523100540,20.910000,40.602501,22.510000,32.709999,0
1523100600,20.910000,40.334999,22.540001,32.709999,0
1523100660,20.975000,40.794998,22.540001,32.669998,0
1523100720,21.570000,41.022499,22.580000,32.650002,1
1523100780,21.540001,40.727501,22.620001,32.540001,0
1523100840,20.930000,40.630001,22.620001,32.560001,0
1523100900,20.950001,41.270000,22.639999,32.480000,0
1523100960,20.985001,41.900002,22.690001,32.470001,0
1523101020,21.080000,41.727501,22.709999,32.410000,0
1523101080,21.059999,41.772499,22.750000,32.410000,0
1523101140,21.059999,42.355000,22.750000,32.410000,0
1523101200,21.100000,41.875000,22.750000,32.380001,0
1523101260,21.120001,42.369999,22.770000,32.330002,0
1523101320,21.150000,42.590000,22.790001,32.360001,0
1523101380,21.170000,42.562500,22.809999,32.330002,0
1523101440,21.230000,42.702499,22.809999,32.360001,0
1523101500,21.209999,42.755001,22.809999,32.320000,0
1523101560,21.263334,42.667500,22.900000,32.299999,0
1523101620,21.340000,42.607498,22.860001,32.320000,0
1523101680,21.340000,42.992500,22.920000,32.299999,0
1523101740,21.320000,43.842499,22.900000,32.320000,0
1523101800,21.250000,43.347500,22.940001,32.290001,0
1523101860,21.203333,42.849998,22.940001,32.299999,0
1523101920,21.190001,43.380001,22.299999,32.290001,0
1523101980,21.209999,43.136669,22.280001,32.250000,0
1523102040,21.290001,43.372498,22.299999,32.290001,0
1523102100,21.320000,43.397499,22.320000,32.290001,0
1523102160,21.369999,43.362499,22.320000,32.320000,0
1523102220,21.379999,43.439999,22.360001,32.299999,0
1523102280,21.379999,43.434998,22.320000,32.290001,0
1523102340,21.360001,43.325001,22.389999,32.360001,0
1523102400,21.320000,43.602501,22.389999,32.419998,0
1523102460,21.379999,43.369999,22.360001,32.439999,0
1523102520,21.469999,43.427498,22.430000,32.500000,1
1523102580,21.379999,43.317497,22.430000,32.529999,0
1523102640,21.305000,43.437500,22.450001,32.590000,0
1523102700,21.290001,42.959999,22.430000,32.619999,0
1523102760,21.270000,42.840000,22.450001,32.730000,0
